C:\Users\Saketh\Downloads\data\IMG\center_2024_06_15_15_30_01_199.jpg, C:\Users\Saketh\Downloads\data\IMG\left_2024_06_15_15_30_01_199.jpg, C:\Users\Saketh\Downloads\data\IMG\right_2024_06_15_15_30_01_199.jpg, 0, 0, 0, 7.997701E-05
C:\Users\Saketh\Downloads\data\IMG\center_2024_06_15_15_30_01_300.jpg, C:\Users\Saketh\Downloads\data\IMG\left_2024_06_15_15_30_01_300.jpg, C:\Users\Saketh\Downloads\data\IMG\right_2024_06_15_15_30_01_300.jpg, 0, 0, 0, 7.872796E-05
C:\Users\Saketh\Downloads\data\IMG\center_2024_06_15_15_30_01_401.jpg, C:\Users\Saketh\Downloads\data\IMG\left_2024_06_15_15_30_01_401.jpg, C:\Users\Saketh\Downloads\data\IMG\right_2024_06_15_15_30_01_401.jpg, 0, 0, 0, 8.083518E-05
C:\Users\Saketh\Downloads\data\IMG\center_2024_06_15_15_30_01_504.jpg, C:\Users\Saketh\Downloads\data\IMG\left_2024_06_15_15_30_01_504.jpg, C:\Users\Saketh\Downloads\data\IMG\right_2024_06_15_15_30_01_504.jpg, 0, 0, 0, 7.789879E-05
C:\Users\Saketh\Downloads\data\IMG\center_2024_06_15_15_30_01_604.jpg, C:\Users\Saketh\Downloads\data\IMG\left_2024_06_15_15_30_01_604.jpg, C:\Users\Saketh\Downloads\data\IMG\right_2024_06_15_15_30_01_604.jpg, 0, 0, 0, 8.55488E-05
C:\Users\Saketh\Downloads\data\IMG\center_2024_06_15_15_30_01_705.jpg, C:\Users\Saketh\Downloads\data\IMG\left_2024_06_15_15_30_01_705.jpg, C:\Users\Saketh\Downloads\data\IMG\right_2024_06_15_15_30_01_705.jpg, 0, 0, 0, 7.78306E-05
C:\Users\Saketh\Downloads\data\IMG\center_2024_06_15_15_30_01_807.jpg, C:\Users\Saketh\Downloads\data\IMG\left_2024_06_15_15_30_01_807.jpg, C:\Users\Saketh\Downloads\data\IMG\right_2024_06_15_15_30_01_807.jpg, 0, 0, 0, 7.774053E-05
C:\Users\Saketh\Downloads\data\IMG\center_2024_06_15_15_30_01_907.jpg, C:\Users\Saketh\Downloads\data\IMG\left_2024_06_15_15_30_01_907.jpg, C:\Users\Saketh\Downloads\data\IMG\right_2024_06_15_15_30_01_907.jpg, 0, 0, 0, 8.323407E-05
C:\Users\Saketh\Downloads\data\IMG\center_2024_06_15_15_30_02_009.jpg, C:\Users\Saketh\Downloads\data\IMG\left_2024_06_15_15_30_02_009.jpg, C:\Users\Saketh\Downloads\data\IMG\right_2024_06_15_15_30_02_009.jpg, 0, 0, 0, 7.821608E-05
C:\Users\Saketh\Downloads\data\IMG\center_2024_06_15_15_30_02_111.jpg, C:\Users\Saketh\Downloads\data\IMG\left_2024_06_15_15_30_02_111.jpg, C:\Users\Saketh\Downloads\data\IMG\right_2024_06_15_15_30_02_111.jpg, 0, 0, 0, 7.939345E-05
C:\Users\Saketh\Downloads\data\IMG\center_2024_06_15_15_30_02_214.jpg, C:\Users\Saketh\Downloads\data\IMG\left_2024_06_15_15_30_02_214.jpg, C:\Users\Saketh\Downloads\data\IMG\right_2024_06_15_15_30_02_214.jpg, 0, 0, 0, 7.814711E-05
C:\Users\Saketh\Downloads\data\IMG\center_2024_06_15_15_30_02_316.jpg, C:\Users\Saketh\Downloads\data\IMG\left_2024_06_15_15_30_02_316.jpg, C:\Users\Saketh\Downloads\data\IMG\right_2024_06_15_15_30_02_316.jpg, 0, 0, 0, 7.834944E-05
C:\Users\Saketh\Downloads\data\IMG\center_2024_06_15_15_30_02_416.jpg, C:\Users\Saketh\Downloads\data\IMG\left_2024_06_15_15_30_02_416.jpg, C:\Users\Saketh\Downloads\data\IMG\right_2024_06_15_15_30_02_416.jpg, 0, 0, 0, 7.894421E-05
C:\Users\Saketh\Downloads\data\IMG\center_2024_06_15_15_30_02_519.jpg, C:\Users\Saketh\Downloads\data\IMG\left_2024_06_15_15_30_02_519.jpg, C:\Users\Saketh\Downloads\data\IMG\right_2024_06_15_15_30_02_519.jpg, 0, 0.1544004, 0, 0.06035003
C:\Users\Saketh\Downloads\data\IMG\center_2024_06_15_15_30_02_621.jpg, C:\Users\Saketh\Downloads\data\IMG\left_2024_06_15_15_30_02_621.jpg, C:\Users\Saketh\Downloads\data\IMG\right_2024_06_15_15_30_02_621.jpg, 0, 0.4592778, 0, 0.4306886
C:\Users\Saketh\Downloads\data\IMG\center_2024_06_15_15_30_02_722.jpg, C:\Users\Saketh\Downloads\data\IMG\left_2024_06_15_15_30_02_722.jpg, C:\Users\Saketh\Downloads\data\IMG\right_2024_06_15_15_30_02_722.jpg, 0, 0.7554457, 0, 1.194298
C:\Users\Saketh\Downloads\data\IMG\center_2024_06_15_15_30_02_824.jpg, C:\Users\Saketh\Downloads\data\IMG\left_2024_06_15_15_30_02_824.jpg, C:\Users\Saketh\Downloads\data\IMG\right_2024_06_15_15_30_02_824.jpg, 0, 1, 0, 2.269268
C:\Users\Saketh\Downloads\data\IMG\center_2024_06_15_15_30_02_927.jpg, C:\Users\Saketh\Downloads\data\IMG\left_2024_06_15_15_30_02_927.jpg, C:\Users\Saketh\Downloads\data\IMG\right_2024_06_15_15_30_02_927.jpg, 0, 1, 0, 3.66605
